
     1    40     1
     6    86     2
     4    66     1
     5    20     1
     1     6     1
     2    68     1
     8    92     2
     6    48     1
     3    74     1
     7    12     1
     1    24     2
     2    84     1
     1    78     2
     4    80     2
     1    24     1
     1    32     1
     1     6     2
     3     2     2
     4    18     1
     5    30     1
     0    46     1
     5    94     1
     3    10     2
     3     2     1
     2    84     2
     0    46     2
     7    90     2
     7    64     1
     1    96     1
     4    18     2
     5    98     1
     7    36     1
     4    66     2
     2    42     2
     7    56     2
     6     4     2
     1     8     2
     2    42     1
     7    56     1
     7   100     1
     6    38     1
     6    88     1
     3    34     1
     1     8     1
     6    38     2
     5    72     1
     8    92     1
     5    20     2
     6    48     2
     5    94     2
     8    16     1
     6    60     1
     7    64     2
     8    16     2
     8    52     1
     6    88     2
     7    12     2
     5    72     2
     3    74     2
     0    82     2
     7    28     1
     5    26     1
     2    44     2
     1    76     1
     2    68     2
     8    70     1
     6    50     2
     6     4     1
     1    76     2
     3    34     2
     1    96     2
     2    44     1
     1    32     2
     4    54     2
     4    80     1
     2    14     1
     7   100     2
     3    22     2
     2    14     2
     5    26     2
     1    58     2
     1    78     1
     1    62     2
     1    58     1
     4    54     1
     6    50     1
     0    82     1
     3    10     1
     1    62     1
     3    22     1
     8    52     2
     7    28     2
     6    86     1
     5    30     2
     1    40     2
     7    36     2
     5    98     2
     8    70     2
     7    90     1
     6    60     2
